time,value,
9.570997297,0.913366258,
9.613293699,0.909583125,
9.656328014,0.902489751,
9.714628134,0.901638546,
9.750628617,0.896436738,
9.802274433,0.906272883,
9.837536791,0.920365054,
9.865091482,0.923864452,
9.895046177,0.913744571,
9.93028536,0.919703005,
9.961040253,0.916771077,
9.993377535,0.904475895,
10.03133614,0.906651197,
10.06737706,0.903057221,
10.1021596,0.901543967,
10.1380881,0.902111438,
10.17204458,0.902773485,
10.20934276,0.900030715,
10.24238144,0.897382522,
10.2765866,0.89463975,
10.31336184,0.894923485,
10.35081246,0.891707822,
10.38883525,0.901638546,
10.42565797,0.91156927,
10.46033321,0.914501197,
10.49836463,0.918473487,
10.53366825,0.923769873,
10.57218897,0.929349994,
10.60991168,0.934457223,
10.64623625,0.949400598,
10.68349643,0.947130718,
10.71885868,0.958007225,
10.75343153,0.960655418,
10.78677235,0.962641564,
10.83201415,0.959331322,
10.86657134,0.949022285,
10.90082709,0.942023489,
10.94223555,0.94987349,
10.9776332,0.951292165,
11.01558239,0.965762648,
11.05022157,0.973234335,
11.08886606,0.981368071,
11.12632852,0.992812048,
11.15977361,0.986569879,
11.19275826,0.97749036,
11.22700193,0.977395782,
11.26083724,0.972288553,
11.29458094,0.967748793,
11.33009889,0.966424696,
11.36713605,0.967654214,
11.40455448,0.965289757,
11.44275995,0.965951804,
11.47895486,0.963209033,
11.51536916,0.960939154,
11.55318762,0.964154816,
11.59019895,0.9651006,
11.62698741,0.965006021,
11.66324244,0.969640359,
11.69961366,0.971815661,
11.73766769,0.973234335,
11.78171593,0.973234335,
11.81840179,0.974842167,
11.85522019,0.976260841,
11.89467786,0.973990962,
11.92684468,0.973139757,
11.96482821,0.969072889,
11.99905649,0.968599998,
12.037032,0.959615057,
12.07010153,0.955926502,
12.10013191,0.948076502,
12.13024931,0.945333731,
12.16562918,0.947036141,
12.2005948,0.949968068,
12.2353348,0.952427104,
12.27211639,0.96339819,
12.30969226,0.964722286,
12.34648933,0.966708431,
12.3793272,0.964343973,
12.41287449,0.959236744,
12.44443042,0.95214337,
12.47996118,0.941645176,
12.51052689,0.938524091,
12.54464466,0.924904813,
12.57974458,0.924810235,
12.61820171,0.928782524,
12.6549511,0.928971681,
12.69319387,0.92736385,
12.73032395,0.927458428,
12.76911255,0.930106621,
12.80619288,0.932660236,
12.84288772,0.934457223,
12.88063013,0.936254211,
12.91870959,0.935403006,
12.95263578,0.940415658,
12.98704317,0.937578308,
13.02420208,0.939659031,
13.06050411,0.941550597,
13.09220106,0.951859635,
13.12627493,0.95441325,
13.15856607,0.954318671,
13.19563324,0.949116864,
13.22966663,0.951386743,
13.26715554,0.93748373,
13.30223028,0.941172284,
13.33743401,0.931052404,
13.37290794,0.926985536,
13.40874348,0.930012043,
13.44381987,0.931809031,
13.4776423,0.93578132,
13.51263051,0.934930115,
13.54640213,0.945049995,
13.57623587,0.947509032,
13.61392547,0.947036141,
13.64896674,0.951481321,
13.68614561,0.951859635,
13.72356743,0.954507827,
13.76191054,0.951954213,
13.8000219,0.952899996,
13.83725247,0.953089153,
13.87055653,0.944955417,
13.908118,0.938713248,
13.94290305,0.928782524,
13.97576289,0.917622282,
14.0101053,0.916109029,
14.06072485,0.911285535,
14.09244679,0.910623486,
14.12789436,0.908542763,
14.16419463,0.909677703,
14.20180374,0.909204812,
14.23740453,0.908542763,
14.27068484,0.913271679,
14.29793675,0.911663848,
14.32838873,0.898233727,
14.36484218,0.898517461,
14.39355998,0.895112642,
14.42139796,0.893599388,
14.45846839,0.894261437,
14.49051345,0.897949991,
14.52345803,0.896625894,
14.56101605,0.902206016,
14.59751339,0.908353607,
14.63263349,0.909772281,
14.66783682,0.902016859,
14.70199705,0.904948787,
14.72411957,0.890762039,
14.75022639,0.877521074,
14.7773661,0.857281313,
14.80231624,0.835906613,
14.82739981,0.826070467,
14.85295922,0.806776489,
14.8732708,0.799683115,
14.89993521,0.786915042,
14.92156679,0.766107811,
14.95236063,0.758446967,
14.97265515,0.757879497,
14.99228326,0.748989135,
15.01883865,0.738490941,
15.04110159,0.729884314,
15.06264893,0.724966241,
15.09107497,0.711441541,
15.11201987,0.699335516,
15.1330369,0.695836118,
15.16094931,0.677015032,
15.18238984,0.671245755,
15.20324381,0.663963224,
15.23052154,0.646466234,
15.2535033,0.633603583,
15.27388603,0.622916232,
15.30200678,0.606932496,
15.3237532,0.607499966,
15.34456409,0.596812615,
15.37252187,0.574775866,
15.39724195,0.562102371,
15.41980865,0.559643335,
15.44642936,0.552360804,
15.46964845,0.530702369,
15.49204971,0.517745139,
15.51963311,0.515758994,
15.5421509,0.508854776,
15.56678131,0.496843329,
15.59438684,0.487669232,
15.61696574,0.465443327,
15.64211264,0.440947541,
15.66652229,0.429881878,
15.69495097,0.398008983,
15.71885556,0.389969826,
15.74415355,0.380890307,
15.77071586,0.371905367,
15.79549781,0.370675849,
15.82754415,0.362447535,
15.85238735,0.358380667,
15.87605809,0.354975847,
15.90063363,0.353462594,
15.92458026,0.349963196,
15.95025469,0.348166208,
15.97274199,0.3429644,
15.99506587,0.340694521,
16.01895755,0.339275846,
16.04087987,0.334074038,
16.06274099,0.33000717,
16.08663777,0.328966809,
16.10862425,0.328115604,
16.13091641,0.325656567,
16.15348381,0.324521628,
16.17524896,0.323765001,
16.19711971,0.321778856,
16.2191305,0.319414398,
16.24137106,0.317239097,
16.262402,0.313266807,
16.28349171,0.311848132,
16.30745489,0.311848132,
16.33398604,0.309578253,
16.35703325,0.307592108,
16.37871918,0.307592108,
16.39994286,0.305133072,
16.42012454,0.303903554,
16.44019336,0.300025842,
16.46089363,0.299174637,
16.48204813,0.296621023,
16.50327367,0.295958974,
16.52452751,0.293878251,
16.54525892,0.291324637,
16.56827734,0.28829813,
16.58915627,0.286974034,
16.6102832,0.285744516,
